수집시각,상품번호,상품명,시청자수,상품링크
2026-08-30 00:49,6980159,리버시블 체크 헤링턴 점퍼_블랙,17,https://www.musinsa.com/products/6980159
2026-08-30 00:49,6979660,[크롭] 라이트 레이어드 롱슬리브_퍼플,96,https://www.musinsa.com/products/6979660
2026-08-30 00:49,6979708,[크롭] 스트라이프 레이어드 헨리넥 롱슬리브_버건디,46,https://www.musinsa.com/products/6979708
2026-08-30 00:49,6980163,리버시블 체크 헤링턴 점퍼_버건디,16,https://www.musinsa.com/products/6980163
2026-08-30 00:49,6979608,[크롭] 라이트 후드 집업_퍼플 [레이어드티 선택],111,https://www.musinsa.com/products/6979608
2026-08-30 00:49,6979573,[크롭] 와플 후드 롱슬리브_차콜,27,https://www.musinsa.com/products/6979573
2026-08-30 00:49,6979659,[크롭] 라이트 레이어드 롱슬리브_네이비,57,https://www.musinsa.com/products/6979659
2026-08-30 00:49,6979664,[크롭] 라이트 레이어드 롱슬리브_레몬,55,https://www.musinsa.com/products/6979664
2026-08-30 00:49,6979620,[크롭] 체크 플란넬 후드 롱슬리브_퍼플,15,https://www.musinsa.com/products/6979620
2026-08-30 00:49,6979662,[크롭] 라이트 레이어드 롱슬리브_민트,147,https://www.musinsa.com/products/6979662
2026-08-30 00:49,6979712,[크롭] 스트라이프 레이어드 헨리넥 롱슬리브_차콜,57,https://www.musinsa.com/products/6979712
2026-08-30 00:49,6979610,[크롭] 라이트 후드 집업_네이비 [레이어드티 선택],183,https://www.musinsa.com/products/6979610
2026-08-30 00:49,6979575,[크롭] 와플 후드 롱슬리브_애쉬블루,117,https://www.musinsa.com/products/6979575
2026-08-30 00:49,3138551,린넨라이크 세미와이드 밴딩 팬츠_4 COLOR,69,https://www.musinsa.com/products/3138551
2026-08-30 00:49,6979658,[크롭] 라이트 레이어드 롱슬리브_차콜,47,https://www.musinsa.com/products/6979658
2026-08-30 00:49,6979706,[크롭] 스트라이프 레이어드 헨리넥 롱슬리브_스트라이프,13,https://www.musinsa.com/products/6979706
2026-08-30 00:49,3143786,(카라 OR 라운드) 린넨라이크 하프 니트 2종,56,https://www.musinsa.com/products/3143786
2026-08-30 00:49,4062254,COOL 써머 와이드 팬츠 2종,11,https://www.musinsa.com/products/4062254
