상품번호,상품명,상품링크,깨진이미지수,전체이미지수,깨진이미지주소,응답코드
6154823,[크롭] 스트라이프 레이어드 헨리넥 반팔 티셔츠_차콜,https://www.musinsa.com/products/6154823,1,11,https://gabia-concreteworks.xcache.kinxcdn.com/KIIMUIR/2026/26SS/KBFUUTS014CH/09.jpg,404
6154825,[크롭] 스트라이프 레이어드 헨리넥 반팔 티셔츠_멜란지 그레이,https://www.musinsa.com/products/6154825,1,11,https://gabia-concreteworks.xcache.kinxcdn.com/KIIMUIR/2026/26SS/KBFUUTS014MG/09.jpg,404
6154819,[크롭] 스트라이프 레이어드 헨리넥 반팔 티셔츠_블랙,https://www.musinsa.com/products/6154819,1,11,https://gabia-concreteworks.xcache.kinxcdn.com/KIIMUIR/2026/26SS/KBFUUTS014BK/09.jpg,404
5579011,(우먼) 하이넥 울 롱코트_그레이,https://www.musinsa.com/products/5579011,1,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWCL002GR/07.jpg,404
5579010,(우먼) 하이넥 울 롱코트_챠콜,https://www.musinsa.com/products/5579010,1,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWCL002CH/07.jpg,404
4499775,오버핏 2-WAY 더플 후드 롱패딩_블랙,https://www.musinsa.com/products/4499775,1,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBDWUHL001BK/06.jpg,404
3012020,스카시 2-WAY 집업니트 가디건_레프리콘 그린,https://www.musinsa.com/products/3012020,1,7,https:https://cgraphy.diskn.com/KIIMUIR/2024/24SS/240418_SPECIAL_WEEK.jpg,잘못된 주소 형식
2057860,헤비웨이트 투턱 스트링 스웨트팬츠_그레이,https://www.musinsa.com/products/2057860,1,8,https://cgraphy.diskn.com/KIIMUIR//RefundExchange.jpg,404
