수집시각,상품번호,상품명,시청자수,상품링크
2026-08-31 00:49,4392780,울(WOOL) 파이핑 바시티 자켓 DW_네이비,103,https://www.musinsa.com/products/4392780
2026-08-31 00:49,2752809,울(WOOL) 바시티 자켓_네이비,57,https://www.musinsa.com/products/2752809
2026-08-31 00:49,4301692,[유튜버 PICK] 빈티지 워크 자켓_네이비,42,https://www.musinsa.com/products/4301692
2026-08-31 00:49,5902945,리버시블 체크 헤링턴 점퍼_브라운,19,https://www.musinsa.com/products/5902945
2026-08-31 00:49,4679228,울(WOOL) 헤링턴 자켓 CF_네이비,14,https://www.musinsa.com/products/4679228
2026-08-31 01:49,6979708,[크롭] 스트라이프 레이어드 헨리넥 롱슬리브_버건디,182,https://www.musinsa.com/products/6979708
2026-08-31 01:49,6979608,[크롭] 라이트 후드 집업_퍼플 [레이어드티 선택],100,https://www.musinsa.com/products/6979608
2026-08-31 01:49,6979664,[크롭] 라이트 레이어드 롱슬리브_레몬,67,https://www.musinsa.com/products/6979664
2026-08-31 01:49,6979573,[크롭] 와플 후드 롱슬리브_차콜,27,https://www.musinsa.com/products/6979573
2026-08-31 01:49,6980031,[크롭] 와플 헨리넥 니트_코코아,14,https://www.musinsa.com/products/6980031
2026-08-31 01:49,6980026,[크롭] 와플 헨리넥 니트_멜란지그레이,10,https://www.musinsa.com/products/6980026
2026-08-31 01:49,6980159,리버시블 체크 헤링턴 점퍼_블랙,75,https://www.musinsa.com/products/6980159
2026-08-31 01:49,6979659,[크롭] 라이트 레이어드 롱슬리브_네이비,69,https://www.musinsa.com/products/6979659
2026-08-31 01:49,6979660,[크롭] 라이트 레이어드 롱슬리브_퍼플,187,https://www.musinsa.com/products/6979660
2026-08-31 01:49,6980163,리버시블 체크 헤링턴 점퍼_버건디,171,https://www.musinsa.com/products/6980163
2026-08-31 01:49,6979610,[크롭] 라이트 후드 집업_네이비 [레이어드티 선택],137,https://www.musinsa.com/products/6979610
2026-08-31 01:49,6979482,커브드 생지 데님 팬츠_뉴 인디고 [벨트/키링 선택],10,https://www.musinsa.com/products/6979482
2026-08-31 01:49,6979575,[크롭] 와플 후드 롱슬리브_애쉬블루,63,https://www.musinsa.com/products/6979575
2026-08-31 01:49,6980053,[크롭] 스트라이프 헨리넥 니트_차콜,140,https://www.musinsa.com/products/6980053
2026-08-31 01:49,6979712,[크롭] 스트라이프 레이어드 헨리넥 롱슬리브_차콜,94,https://www.musinsa.com/products/6979712
2026-08-31 01:49,6979662,[크롭] 라이트 레이어드 롱슬리브_민트,99,https://www.musinsa.com/products/6979662
2026-08-31 01:49,3138551,린넨라이크 세미와이드 밴딩 팬츠_4 COLOR,249,https://www.musinsa.com/products/3138551
2026-08-31 01:49,6979658,[크롭] 라이트 레이어드 롱슬리브_차콜,39,https://www.musinsa.com/products/6979658
2026-08-31 01:49,6979706,[크롭] 스트라이프 레이어드 헨리넥 롱슬리브_스트라이프,69,https://www.musinsa.com/products/6979706
2026-08-31 01:49,6979621,[크롭] 체크 플란넬 후드 롱슬리브_네이비,22,https://www.musinsa.com/products/6979621
2026-08-31 01:49,6979502,커브드 라인 코튼 팬츠_베이지 [벨트/키링 선택],22,https://www.musinsa.com/products/6979502
2026-08-31 01:49,4062254,COOL 써머 와이드 팬츠 2종,93,https://www.musinsa.com/products/4062254
